id,image,subject,predicate,object,verdict (y/n),notes
1,001.png,cube9,behind,box6,y,
2,002.png,cube6,to the left of,cube2,y,
3,003.png,bottle5,in front of,book2,y,
4,004.png,book1,near,bottle2,y,
5,005.png,bottle5,on,remote7,n,
6,006.png,bottle6,behind,cube9,y,
7,007.png,book5,on,box6,n,
8,008.png,bottle2,on,cube3,n,
9,009.png,remote14,to the right of,book2,y,
10,010.png,bottle11,to the right of,box6,y,
11,011.png,human10,behind,book9,y,
12,012.png,box3,under,book2,y,
13,013.png,book3,under,bottle7,n,
14,014.png,book4,near,bottle8,y,
15,015.png,human1,behind,cube4,y,
16,016.png,cube10,to the right of,book0,y,
17,017.png,cube7,near,bottle1,y,
18,018.png,book7,to the right of,human12,n,
19,019.png,box1,behind,cube6,y,
20,020.png,bottle1,behind,cube9,y,
21,021.png,bottle7,near,cube6,y,
22,022.png,cube7,under,bottle8,n,
23,023.png,book5,on,box6,y,
24,024.png,remote4,under,cube6,n,
25,025.png,cube11,under,remote6,n,
26,026.png,box10,under,box8,y,
27,027.png,cube2,to the right of,cube9,n,
28,028.png,cube8,behind,bottle2,y,
29,029.png,book4,in front of,human13,y,
30,030.png,box7,to the right of,cube9,y,
31,031.png,book9,to the right of,bottle11,y,
32,032.png,book0,to the left of,bottle2,y,
33,033.png,remote10,under,cube6,n,
34,034.png,book3,behind,cube10,y,
35,035.png,remote14,near,human12,y,
36,036.png,box7,under,cube3,y,
37,037.png,cube7,under,cube6,n,
38,038.png,book6,on,bottle5,n,
39,039.png,book8,on,box12,y,
40,040.png,bottle7,to the left of,box3,n,
41,041.png,cube11,in front of,bottle1,y,
42,042.png,cube7,to the right of,box5,y,
43,043.png,book2,in front of,cube9,y,
44,044.png,remote1,under,cube6,n,
45,045.png,book14,near,box6,y,
46,046.png,bottle5,near,book4,y,
47,047.png,human9,behind,bottle5,y,
48,048.png,book0,near,book4,y,
49,049.png,book5,on,box4,n,
50,050.png,box1,under,bottle3,n,
51,051.png,remote4,under,bottle2,n,
52,052.png,cube9,on,bottle5,n,
53,053.png,cube8,on,book4,y,
54,054.png,bottle1,to the left of,cube0,y,
55,055.png,remote14,on,cube11,n,
56,056.png,bottle8,on,box3,n,
57,057.png,cube5,on,remote6,n,
58,058.png,cube8,on,cube11,n,
59,059.png,book7,under,cube14,y,
60,060.png,cube8,to the right of,bottle5,y,
61,061.png,bottle8,on,cube5,n,
62,062.png,box6,to the right of,book1,y,
63,063.png,bottle1,under,book0,y,
64,064.png,cube8,on,book12,y,
65,065.png,bottle0,in front of,box8,y,
66,066.png,cube10,on,bottle6,n,
67,067.png,remote13,under,cube10,n,
68,068.png,box1,under,book0,y,
69,069.png,box9,behind,book10,n,
70,070.png,cube1,on,bottle3,n,
