image_id,subj,obj,near_metric,dist3d,gold_near,gold_any,gold_contact,pred,gold
group_0/000000,0,1,0.000000,0.100134,0,1,0,to the left of;in front of;near,in front of
group_0/000000,0,2,2.246228,0.215722,0,0,0,to the left of,
group_0/000000,0,3,0.739070,0.307819,0,0,0,to the left of;behind;near,
group_0/000000,0,4,1.405558,0.210958,0,0,0,to the left of;behind,
group_0/000000,0,5,3.044964,0.371021,0,0,0,to the left of;in front of,
group_0/000000,0,6,0.652002,0.242924,0,0,0,to the left of;in front of;near,
group_0/000000,0,7,0.695264,0.144509,0,0,0,to the left of;in front of;near,
group_0/000000,0,8,2.355217,0.382313,0,0,0,to the left of;in front of,
group_0/000000,0,9,1.256867,0.277948,0,0,0,to the left of;in front of;near,
group_0/000000,0,10,0.183198,0.421318,0,0,0,to the left of;behind;near,
group_0/000000,0,11,0.534399,0.518132,0,0,0,to the left of;in front of;near,
group_0/000000,0,12,1.053288,0.508239,0,0,0,to the left of;in front of;near,
group_0/000000,1,0,0.000000,0.100134,0,1,0,to the right of;behind;near,behind
group_0/000000,1,2,3.613744,0.210995,0,0,0,to the left of;behind,
group_0/000000,1,3,1.821556,0.379007,0,0,0,to the left of;behind,
group_0/000000,1,4,1.789818,0.209682,0,0,0,to the left of;behind,
group_0/000000,1,5,4.251382,0.329912,0,0,0,to the left of;behind,
group_0/000000,1,6,0.691413,0.167519,0,0,0,to the left of;in front of;near,
group_0/000000,1,7,0.771778,0.089866,0,0,0,to the left of;behind;near,
group_0/000000,1,8,3.117858,0.330227,0,0,0,to the left of;in front of,
group_0/000000,1,9,2.676594,0.207916,0,0,0,to the left of;in front of,
group_0/000000,1,10,0.717732,0.496351,0,0,0,to the left of;behind;near,
group_0/000000,1,11,1.278535,0.456737,0,0,0,to the left of;in front of;near,
group_0/000000,1,12,1.932307,0.439153,0,0,0,to the left of;in front of,
group_0/000000,2,0,2.246228,0.215722,0,0,0,to the right of,
group_0/000000,2,1,3.613744,0.210995,0,0,0,to the right of;in front of,
group_0/000000,2,3,2.030313,0.317965,0,0,0,to the right of;behind,
group_0/000000,2,4,0.000000,0.082014,0,1,1,on,on
group_0/000000,2,5,1.356156,0.185324,0,0,0,to the left of;in front of;near,
group_0/000000,2,6,0.000000,0.179073,0,0,0,to the right of;in front of;near,
group_0/000000,2,7,0.660409,0.148414,0,0,0,to the right of;in front of;near,
group_0/000000,2,8,0.653693,0.207955,0,0,0,to the left of;in front of;near,
