slot,plan_pasted_from_prompt_id,clears the object on top before grasping (y/n),grasps the correct object (y/n),no invented objects or steps (y/n),notes
1,scene10-B,,,,
2,scene2-B,,,,
3,scene24-A,,,,
4,scene16-A,,,,
5,scene16-C,,,,
6,scene13-A,,,,
7,scene19-C,,,,
8,scene13-B,,,,
9,scene20-C,,,,
10,scene25-C,,,,
11,scene1-A,,,,
12,scene22-A,,,,
13,scene4-A,,,,
14,scene22-C,,,,
15,scene10-A,,,,
16,scene18-C,,,,
17,scene10-C,,,,
18,scene24-C,,,,
19,scene24-B,,,,
20,scene22-B,,,,
21,scene3-B,,,,
22,scene23-C,,,,
23,scene9-A,,,,
24,scene23-B,,,,
25,scene20-A,,,,
26,scene25-B,,,,
27,scene4-C,,,,
28,scene7-B,,,,
29,scene12-C,,,,
30,scene3-A,,,,
31,scene3-C,,,,
32,scene11-A,,,,
33,scene6-C,,,,
34,scene17-A,,,,
35,scene1-B,,,,
36,scene18-B,,,,
37,scene11-B,,,,
38,scene21-A,,,,
39,scene15-A,,,,
40,scene20-B,,,,
41,scene9-B,,,,
42,scene6-A,,,,
43,scene5-A,,,,
44,scene14-A,,,,
45,scene17-C,,,,
46,scene14-B,,,,
47,scene8-A,,,,
48,scene11-C,,,,
49,scene18-A,,,,
50,scene12-B,,,,
51,scene5-C,,,,
52,scene17-B,,,,
53,scene8-B,,,,
54,scene4-B,,,,
55,scene8-C,,,,
56,scene25-A,,,,
57,scene6-B,,,,
58,scene19-A,,,,
59,scene15-C,,,,
60,scene2-C,,,,
61,scene19-B,,,,
62,scene14-C,,,,
63,scene21-C,,,,
64,scene13-C,,,,
65,scene2-A,,,,
66,scene7-A,,,,
67,scene16-B,,,,
68,scene9-C,,,,
69,scene1-C,,,,
70,scene23-A,,,,
71,scene7-C,,,,
72,scene21-B,,,,
73,scene12-A,,,,
74,scene15-B,,,,
75,scene5-B,,,,
